Type,Name,Address,Grade,District,AGA Division,PS/MC/UC
Travel Agents,SMILE LEISURE MANAGEMENT & TOUR SERVICE (PVT) LTD,"NO.22,6TH LANE,JAMBUGASMULLA MAWATHA,NUGEGODA.",,Colombo,Maharagama,Maharagama Divisional Secretariat
Travel Agents,SAHWAN TRAVELS & TOURS (PVT) LTD,"NO.106, BEACH ROAD, KATTANKUDY 06.",,Batticaloa,Kattankudy,Kattankudy Divisional Secretariat
Travel Agents,SEYLAN ADVENTURES (PVT) LTD,"NO. THE KING BUILDING -67, 4/4, BANDARANAYAKA MAWATHA, COLOMBO 12.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,AL JANNAH TRAVELS & TOURS (PVT) LTD,"NO.10/1/2,STATION ROAD,MORATUWA.",,Colombo,Moratuwa,Moratuwa Divisional Secretariat
Travel Agents,AGFORT ASIA (PVT) LTD,"NO.9B1, OLD QUARRY ROAD, MT LAVINIA.",,Colombo,Dehiwala-Mount Lavinia,Mount Lavinia
Travel Agents,IDEAL GETAWAYS (PVT) LTD,"14 M, MOOR ROAD, COLOMBO 06.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,SITA WORLD TRAVEL LANKA (PVT) LTD,"NO.118C, BARNES PLACE, COLOMBO 07.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,LUYOU LANKA TOURS (PVT) LTD,"NO.431 A2, PITAKOTTE, KOTTE.",,Colombo,Sri Jayawardenapura-Kotte,Sri jayawadanapura
Travel Agents,ASIAN ESCAPES (PVT) LTD,"NO.22/16, WIJESEKARA MAWATHA, MIRIHANA, NUGEGODA.",,Colombo,Maharagama,Maharagama Divisional Secretariat
Travel Agents,TGL TRAVELS & TOURS (PVT) LTD,"NO.90, CHATHAM STREET, COLOMBO 01.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,AL ZIYAARA TOURS AND TRAVELS (PVT) LTD,"118/2,COLOMBO ROAD,MAHAMODARA,GALLE.",,Galle,Galle,Galle Divisional Secretariat
Travel Agents,TRAVEL OUTLOOK (PVT) LTD,"NO.98, PAMANKADA ROAD, COLOMBO 06.",,Colombo,Colombo,Colombo Divisional Secretariat
